word,phonetic,definition_zh,definition_en,example,tags,audio_file
urge,ɝdʒ,v  敦促， 力劝； 鼓励； 竭力主张,to strongly suggest that someone does something,The charity urged quick action.,sholvoir;ielts;exam;core,
counsellor,'kaʊnsəlɚ,n  顾问， 辅导顾问,someone whose job is to help and support people with problems,Are you seeing a counsellor?,sholvoir;ielts;exam;core,
high-tech,",haɪ'tɛk",n  高科技,,"Comparing former films and modern high-tech films, which kind do you like better and why?",sholvoir;ielts;exam;core,
enclosure,ɪn'kloʒɚ,n  四周有篱笆的场地， 围场； 附件,"an area surrounded by a wall or fence, and used for a particular purpose",the bear enclosure at the zoo,sholvoir;ielts;exam;core,
visual,'vɪʒʊəl,adj  视觉的， 用于视觉的,relating to seeing,Artists translate their ideas into visual images.,sholvoir;ielts;exam;core,
absent,ˈæbsnt;(for v.)əbˈsɛnt,adj  不在场的； 心不在焉的,"not at work, school, a meeting etc, because you are sick or decide not to go","The dull, absent look on her face implied boredom.",sholvoir;ielts;exam;core,
empire,'ɛmpaɪr,n  帝国,a group of countries that are all controlled by one ruler or government,the Roman empire,sholvoir;ielts;exam;core,
understanding,",ʌndɚ'stændɪŋ",adj  体谅的； 宽容的; n 理解；谅解,sympathetic and kind about other people’s problems; the ability to understand people’s behaviour and to forgive them when they do something wrong,"Luckily, I have a very under­standing boss.",sholvoir;ielts;exam;core,
utilise,'ju:tilaiz,vt  利用， 运用,,"The one thing that never crosses the minds of our elite is to utilise local talent, local enterprise, local money to build Pakistan.",sholvoir;ielts;exam;core,
sanctuary,'sæŋktʃuɛri,n  圣堂， 圣殿， 圣坛； 圣地； 庇护所， 避难所； 禁猎区， 动物保护区,an area for birds or animals where they are protected and cannot be hunted,His church became a sanctuary for thousands of people who fled the civil war.,sholvoir;ielts;exam;core,
aerobics,ɛ'robɪks,n  有氧运动,"a very active type of physical exercise done to music, usually in a class",Yoga has become the new aerobics and some people are getting it out of a book or video.,sholvoir;ielts;exam;core,
instruct,ɪn'strʌkt,vt  教导； 指示， 命令,to officially tell someone what to do,"Eva went straight to the hotel, as instructed (= as she had been told ).",sholvoir;ielts;exam;core,
upgrade,",ʌp'ɡred",n 向上的斜坡；增加，改善; vt  使升级， 提高， 改进； 提拔， 提升； 改善,"to make a computer, machine, or piece of software better and able to do more things",The hotel has recently been refurbished and upgraded.,sholvoir;ielts;exam;core,
biased,'baɪəst,adj  有偏见的； 片面的,unfairly preferring one person or group over another,"Of course I’m biased, but I thought my daughter’s paintings were the best.",sholvoir;ielts;exam;core,
community,kəˈmjunətɪ,n  社会； 社区； 团体； 群落； 共同体,"the people who live in the same area, town etc",The new arts centre will serve the whole community.,sholvoir;ielts;exam;core,
ailment,'elmənt,n  疾病,an illness that is not very serious,minor ailments,sholvoir;ielts;exam;core,
version,'vɝʒn,n  样式； 型号； 种类； 说法； 版本； 译本,a copy of something that has been changed so that it is slightly different,the human version of mad cow disease,sholvoir;ielts;exam;core,
propellant,prə'pɛlənt,n  喷射剂； 推进物， 推进剂,Propellant is a substance that causes something to move forward,...a propellant for nuclear rockets.,sholvoir;ielts;exam;core,
derelict,'dɛrəlɪkt,adj 被抛弃的；衰退的，破败的; n  遗弃物； 无家可归者， 社会弃儿,"a derelict building or piece of land is in very bad condition because it has not been used for a long time; someone who has no money or home, lives on the streets, and is very dirty – used to show disapproval",Her body was found dumped in a derelict warehouse less than a mile from her home.,sholvoir;ielts;exam;core,
conception,kən'sɛpʃən,n  观念， 概念,"an idea about what something is like, or a general understanding of something",My conception of a garden was based on gardens I had visited in England.,sholvoir;ielts;exam;core,
adolescence,",ædə'lɛsns",n  青春， 青春期,"the time, usually between the ages of 12 and 18, when a young person is developing into an adult",Some young people suddenly become self-conscious and tongue-tied in early adolescence.,sholvoir;ielts;exam;core,
detail,dɪˈtel,n 细节，详情；枝节，琐事; vt  详述， 详细说明,"a single feature, fact, or piece of information about something; to list things or give all the facts or information about something",This issue will be discussed in more detail in Chapter 5.,sholvoir;ielts;exam;core,
exhale,ɛks'hel,v  呼出； 散发,"to breathe air, smoke etc out of your mouth","Take a deep breath, then exhale slowly.",sholvoir;ielts;exam;core,
appropriate,əˈproprɪət;(for v.) əˈproprɪet,adj 适当的[ə'prəuprieɪt]; vt  占有， 挪用； 拨出,"correct or suitable for a particular time, situation, or purpose; to take something for yourself when you do not have the right to do this",The timing of the announcement was particularly appropriate .,sholvoir;ielts;exam;core,
beware,bɪ'wɛr,v  谨防， 当心,used to warn someone to be careful because something is dangerous,Police warned drivers to beware.,sholvoir;ielts;exam;core,
utility,ju'tɪləti,n 功用，效用；,a piece of computer software that has a particular use,It’s a simple shareware utility that allows you to print signs and banners.,sholvoir;ielts;exam;core,
immediately,ɪ'midɪətli,adv  立即， 马上； 紧接地； 直接地,without delay,Mix in the remaining ingredients and serve immediately.,sholvoir;ielts;exam;core,
symphony,'sɪmfəni,n  交响乐,"a long piece of music usually in four parts, written for an  orchestra ",Bruckner’s Fifth Symphony,sholvoir;ielts;exam;core,
optimistic,",ɑptɪ'mɪstɪk",adj  乐观的， 乐观主义的,believing that good things will happen in the future,Andrew took a more optimistic view.,sholvoir;ielts;exam;core,
submarine,",sʌbmə'rin",adj  水底的， 海底的; n 潜水艇,"growing or used under the sea; a ship, especially a military one, that can stay under water",submarine plant life,sholvoir;ielts;exam;core,
sleek,slik,adj 光滑而有光泽的；时髦的；豪华的; vt  使光滑发亮,"sleek hair or fur is straight, shiny, and healthy-looking; to make hair or fur smooth and shiny by putting water or oil on it",the sleek lines of the new Mercedes,sholvoir;ielts;exam;core,
catastrophic,",kætə'strɑfɪk",adj  悲惨的； 灾难性的,Something that is catastrophic involves or causes a sudden terrible disaster,A tidal wave caused by the earthquake hit the coast causing catastrophic damage.,sholvoir;ielts;exam;core,
particle,'pɑrtɪkl,n  极少量； 微粒,a very small piece of something,dust particles,sholvoir;ielts;exam;core,
descend,dɪ'sɛnd,v  下来， 下降； 遗传,to move from a higher level to a lower one,Our plane started to descend.,sholvoir;ielts;exam;core,
flavour,'fleivə,n 风味，滋味; vt  给…调味,the particular taste of a food or drink; to give something a particular taste or more taste,Which flavour do you want - chocolate or vanilla?,sholvoir;ielts;exam;core,
density,'dɛnsəti,n  密集； 浓度， 密度,the degree to which an area is filled with people or things,areas of high population density,sholvoir;ielts;exam;core,
ridiculous,rɪ'dɪkjələs,adj  荒谬的； 可笑的,very silly or unreasonable,That’s a ridiculous idea!,sholvoir;ielts;exam;core,
intrusion,ɪn'truʒn,n  闯入； 打搅； 侵扰,"when someone does something, or something happens, that affects your private life or activities in an unwanted way",the unwelcome intrusion of the press,sholvoir;ielts;exam;core,
severe,səˈvɪr,adj  严重的； 严厉的； 剧烈的,"severe problems, injuries, illnesses etc are very bad or very serious",His injuries were quite severe.,sholvoir;ielts;exam;core,
pathway,'pæθwe,n  路径， 途径,A pathway is a path that you can walk along or a route that you can take,Richard was coming up the pathway.,sholvoir;ielts;exam;core,
slat,slæt,n 板条，狭板; vt  用板条制作,"a thin flat piece of wood, plastic etc, used especially in furniture; to provide with slats ","Oak clads the front walls, while slat covers a wall at the rear.",sholvoir;ielts;exam;core,
emerge,ɪ'mɝdʒ,vi  出现； 显露， 暴露,to appear or come out from somewhere,The flowers emerge in the spring.,sholvoir;ielts;exam;core,
exemplify,ɪɡ'zɛmplɪfaɪ,vt  作为…的典型； 例证， 举例说明,to be a very typical example of something,The building exemplifies the style of architecture which was popular at the time.,sholvoir;ielts;exam;core,
lease,lis,n 租约; vt  出租， 租用,"a legal agreement which allows you to use a building, car etc for a period of time, in return for rent; to use a building, car etc under a lease",The landlord refused to renew his lease.,sholvoir;ielts;exam;core,
exploit,ɛksplɔɪt; ɪkˈsplɔɪt,vt  剥削； 开发， 开拓； 利用; n  英勇行为； 业绩， 功绩,"to treat someone unfairly by asking them to do things for you, but giving them very little in return – used to show disapproval; a brave and exciting adventure that someone has had",Homeworkers can easily be exploited by employers.,sholvoir;ielts;exam;core,
evidence,'ɛvɪdəns,n  根据， 证据； 形迹， 迹象,facts or signs that show clearly that something exists or is true,Murrow’s evidence was enough to convict Hayes of murder.,sholvoir;ielts;exam;core,
lethal,'liθl,adj  致命的， 破坏性的， 毁灭性的； 有害的,likely to be powerful or dangerous – often used humorously,They were all drinking lethal amounts of tequila!,sholvoir;ielts;exam;core,
spring,sprɪŋ,v  跳跃； 涌现， 突然出现； 突然提出; n 春天，春季；弹簧，发条；弹性，弹力；泉；跳跃,"to suddenly become active, start moving, or start working; the season between winter and summer when leaves and flowers appear",They were prepared and ready to spring into action.,sholvoir;ielts;exam;core,
assessment,ə'sɛsmənt,n  判定， 评定； 核定的付款额； 看法， 评价,"a process in which you make a judgment about a person or situation, or the judgment you make",a reading assessment test,sholvoir;ielts;exam;core,
